,datetime_utc,yes_best_ask_price,yes_best_ask_size,yes_best_bid_price,yes_best_bid_size,no_best_ask_price,no_best_ask_size,no_best_bid_price,no_best_bid_size,arb_gap,yes_best_mid_price,no_best_mid_price,yes_best_mid_std,no_best_mid_std,cheap_yes,cheap_no,yes_imbalance,no_imbalance,pair_best_ask_price,timestamp,price_Down,price_Up,size_Down,size_Up
340,2026-01-18 19:51:41.696,0.25,870.41,0.24,15.5,0.76,15.5,0.75,870.41,0.010000000000000009,0.245,0.755,0.028228661757736313,0.02822866175773618,0,0,-0.9650077321624093,0.9650077321624093,1.01,,,,,
341,2026-01-18 19:51:42.702,0.25,839.41,0.24,5.0,0.76,5.0,0.75,839.41,0.010000000000000009,0.245,0.755,0.02773194429648223,0.027731944296482063,0,0,-0.9881574116838976,0.9881574116838976,1.01,,,,,
342,2026-01-18 19:51:43.799,0.25,877.41,0.24,1.05,0.76,1.05,0.75,877.41,0.010000000000000009,0.245,0.755,0.027452449902506587,0.027452449902506396,0,0,-0.9976094529062224,0.9976094529062224,1.01,,,,,
343,2026-01-18 19:51:44.980,0.25,875.55,0.24,19.58,0.76,19.58,0.75,851.55,0.010000000000000009,0.245,0.755,0.02711908765526883,0.0271190876552686,0,0,-0.956252164490074,0.9550468931158379,1.01,,,,,
344,2026-01-18 19:51:46.051,0.25,954.55,0.24,25.57,0.76,25.57,0.75,954.55,0.010000000000000009,0.245,0.755,0.025569640145591776,0.025569640145591488,0,0,-0.9478227155858465,0.9478227155858465,1.01,,,,,
345,2026-01-18 19:51:47.147,0.24,121.55,0.23,410.3,0.77,410.3,0.76,121.55,0.010000000000000009,0.235,0.765,0.024002559891725096,0.024002559891724732,0,0,0.5429162357807652,-0.5429162357807652,1.01,,,,,
346,2026-01-18 19:51:48.368,0.24,132.55,0.23,405.3,0.77,405.3,0.76,132.55,0.010000000000000009,0.235,0.765,0.022172124556400805,0.022172124556400347,0,0,0.5071116482290601,-0.5071116482290601,1.01,,,,,
347,2026-01-18 19:51:50.963,0.24,361.64,0.23,395.01,0.77,395.01,0.76,361.64,0.010000000000000009,0.235,0.765,0.020006178424205923,0.02000617842420534,0,0,0.04410229300204851,-0.04410229300204851,1.01,,,,,
348,2026-01-18 19:51:52.018,0.24,312.84,0.23,402.01,0.77,402.01,0.76,312.84,0.010000000000000009,0.235,0.765,0.017379732010180227,0.017379732010179463,0,0,0.12473945582989442,-0.12473945582989442,1.01,,,,,
349,2026-01-18 19:51:53.285,0.24,440.41,0.23,374.04,0.77,374.04,0.76,440.41,0.010000000000000009,0.235,0.765,0.016340955790837733,0.016340955790836855,0,0,-0.0814905764626435,0.0814905764626435,1.01,,,,,
350,2026-01-18 19:51:54.401,0.24,423.41,0.23,60.21,0.77,60.21,0.76,423.41,0.010000000000000009,0.235,0.765,0.015112338282393745,0.015112338282392732,0,0,-0.7510028534800051,0.7510028534800051,1.01,,,,,
351,2026-01-18 19:51:55.554,0.24,452.41,0.23,435.21,0.77,435.21,0.76,452.41,0.010000000000000009,0.235,0.765,0.014264203942884994,0.01426420394288386,0,0,-0.019377661611951112,0.019377661611951112,1.01,,,,,
352,2026-01-18 19:51:56.872,0.24,841.07,0.23,79.21,0.77,79.21,0.76,841.07,0.010000000000000009,0.235,0.765,0.014319793894294133,0.014319793894292963,0,0,-0.8278567392532706,0.8278567392532706,1.01,,,,,
353,2026-01-18 19:51:57.964,0.24,1799.11,0.23,116.92,0.77,116.92,0.76,1799.11,0.010000000000000009,0.235,0.765,0.014453314674657446,0.014453314674656255,0,0,-0.8779559819000745,0.8779559819000745,1.01,,,,,
354,2026-01-18 19:51:59.078,0.23,347.8,0.22,437.39,0.78,437.39,0.77,347.8,0.010000000000000009,0.225,0.775,0.014862838046691577,0.01486283804669038,0,0,0.11409977202969977,-0.11409977202969977,1.01,,,,,
355,2026-01-18 19:52:01.900,0.23,295.5,0.22,416.9,0.78,416.9,0.77,295.5,0.010000000000000009,0.225,0.775,0.015215031223798591,0.015215031223797382,0,0,0.1704098820887142,-0.1704098820887142,1.01,,,,,
356,2026-01-18 19:52:02.760,0.23,306.5,0.22,397.78,0.78,397.78,0.77,306.5,0.010000000000000009,0.225,0.775,0.015513799215589276,0.01551379921558805,0,0,0.1296075424547055,-0.1296075424547055,1.01,,,,,
357,2026-01-18 19:52:03.859,0.22,1245.76,0.21,42.0,0.79,42.0,0.78,1245.76,0.010000000000000009,0.215,0.785,0.01612451549659474,0.016124515496593515,0,0,-0.9347704541218861,0.9347704541218861,1.01,,,,,
358,2026-01-18 19:52:04.952,0.2,298.0,0.19,7.1,0.81,7.1,0.8,298.0,0.010000000000000009,0.195,0.805,0.01733273575675473,0.01733273575675352,0,0,-0.9534578826614223,0.9534578826614223,1.01,,,,,
359,2026-01-18 19:52:06.170,0.19,402.5,0.18,418.03,0.82,418.03,0.81,402.5,0.010000000000000009,0.185,0.815,0.0188923504084253,0.018892350408424113,0,0,0.018926791220308794,-0.018926791220308794,1.01,2026-01-18 19:52:08,0.8,,41.7245,
360,2026-01-18 19:52:07.216,0.19,308.91,0.18,85.1,0.82,85.1,0.81,308.91,0.010000000000000009,0.185,0.815,0.020449745484856438,0.020449745484855272,0,0,-0.5680312682419228,0.5680312682419228,1.01,2026-01-18 19:52:08,0.8,,41.7245,
361,2026-01-18 19:52:08.418,0.18,337.5,0.17,149.58,0.83,149.58,0.82,337.5,0.010000000000000009,0.175,0.825,0.022312622153045115,0.022312622153043984,0,0,-0.38580931263858087,0.38580931263858087,1.01,2026-01-18 19:52:08,0.8,,41.7245,
362,2026-01-18 19:52:09.576,0.18,324.2,0.17,56.97,0.83,56.97,0.82,324.2,0.010000000000000009,0.175,0.825,0.023913686599510094,0.023913686599508984,0,0,-0.7010782590445209,0.7010782590445209,1.01,2026-01-18 19:52:08,0.8,,41.7245,
363,2026-01-18 19:52:10.672,0.18,399.18,0.17,109.95,0.83,109.95,0.82,399.18,0.010000000000000009,0.175,0.825,0.025302687380997564,0.025302687380996454,0,0,-0.5680867361970421,0.5680867361970421,1.01,,,,,
364,2026-01-18 19:52:11.923,0.18,291.61,0.17,81.57,0.83,81.57,0.82,291.61,0.010000000000000009,0.175,0.825,0.026512975183997624,0.02651297518399651,0,0,-0.5628383085910285,0.5628383085910285,1.01,,,,,
365,2026-01-18 19:52:13.000,0.18,697.71,0.17,70.5,0.83,70.5,0.82,697.71,0.010000000000000009,0.175,0.825,0.027568097504179177,0.027568097504178043,0,0,-0.8164564376928184,0.8164564376928184,1.01,,,,,
366,2026-01-18 19:52:14.143,0.17,28.64,0.16,187.28,0.84,187.28,0.83,28.64,0.010000000000000009,0.165,0.835,0.02907422801147449,0.029074228011473358,0,0,0.7347165616895145,-0.7347165616895145,1.01,,,,,
367,2026-01-18 19:52:15.262,0.15,1082.0,0.14,88.82,0.86,88.82,0.85,1082.0,0.010000000000000009,0.14500000000000002,0.855,0.031319386245617774,0.031319386245616664,0,0,-0.8482772757554535,0.8482772757554535,1.01,,,,,
368,2026-01-18 19:52:16.483,0.15,782.39,0.14,12.94,0.86,12.94,0.85,782.39,0.010000000000000009,0.14500000000000002,0.855,0.03329206484916243,0.03329206484916133,0,0,-0.9674600480303772,0.9674600480303772,1.01,,,,,
369,2026-01-18 19:52:17.639,0.14,116.0,0.13,241.0,0.87,241.0,0.86,116.0,0.010000000000000009,0.135,0.865,0.03548652963182887,0.03548652963182777,0,0,0.35014005602240894,-0.35014005602240894,1.01,,,,,
370,2026-01-18 19:52:18.882,0.14,90.18,0.13,238.93,0.87,238.93,0.86,90.18,0.010000000000000009,0.135,0.865,0.03742563247430336,0.03742563247430226,0,0,0.45197654279724103,-0.45197654279724103,1.01,,,,,
371,2026-01-18 19:52:20.056,0.14,62.85,0.13,189.59,0.87,189.59,0.86,62.85,0.010000000000000009,0.135,0.865,0.039147338661698595,0.039147338661697485,0,0,0.5020598954206941,-0.5020598954206941,1.01,,,,,
372,2026-01-18 19:52:20.993,0.15,161.0,0.14,142.49,0.86,142.49,0.85,161.0,0.010000000000000009,0.14500000000000002,0.855,0.040316193771559414,0.04031619377155828,0,0,-0.06099047744571482,0.06099047744571482,1.01,,,,,
373,2026-01-18 19:52:22.186,0.15,184.0,0.14,204.04,0.86,204.04,0.85,184.0,0.010000000000000009,0.14500000000000002,0.855,0.04135385402762107,0.041353854027619916,0,0,0.05164416039583546,-0.05164416039583546,1.01,,,,,
374,2026-01-18 19:52:23.215,0.15,188.0,0.14,512.9,0.86,512.9,0.85,188.0,0.010000000000000009,0.14500000000000002,0.855,0.04226998240393906,0.04226998240393788,0,0,0.46354686831217007,-0.46354686831217007,1.01,,,,,
375,2026-01-18 19:52:24.498,0.15,471.65,0.14,168.68,0.86,168.68,0.85,471.65,0.010000000000000009,0.14500000000000002,0.855,0.043072334377190484,0.04307233437718928,0,0,-0.47314665875407996,0.47314665875407996,1.01,,,,,
376,2026-01-18 19:52:25.607,0.15,518.65,0.14,170.39,0.86,170.39,0.85,518.65,0.010000000000000009,0.14500000000000002,0.855,0.04376716773737311,0.043767167737371875,0,0,-0.5054278416347382,0.5054278416347382,1.01,,,,,
377,2026-01-18 19:52:26.860,0.15,437.0,0.14,171.39,0.86,171.39,0.85,437.0,0.010000000000000009,0.14500000000000002,0.855,0.044359535182211536,0.044359535182210266,0,0,-0.4365785104949128,0.4365785104949128,1.01,,,,,
378,2026-01-18 19:52:27.945,0.15,422.67,0.14,171.39,0.86,171.39,0.85,422.67,0.010000000000000009,0.14500000000000002,0.855,0.04485349661054346,0.04485349661054216,0,0,-0.42298757701242307,0.42298757701242307,1.01,,,,,
379,2026-01-18 19:52:29.053,0.15,440.67,0.14,155.05,0.86,155.05,0.85,440.67,0.010000000000000009,0.14500000000000002,0.855,0.045252274656439814,0.04525227465643848,0,0,-0.47945343449942923,0.47945343449942923,1.01,,,,,
380,2026-01-18 19:52:30.172,0.15,515.67,0.14,151.39,0.86,151.39,0.85,515.67,0.010000000000000009,0.14500000000000002,0.855,0.04555836884427885,0.045558368844277476,0,0,-0.546097802296645,0.546097802296645,1.01,,,,,
381,2026-01-18 19:52:31.373,0.15,586.85,0.14,61.61,0.86,61.61,0.85,586.85,0.010000000000000009,0.14500000000000002,0.855,0.04577363857834017,0.04577363857833875,0,0,-0.8099805693489189,0.8099805693489189,1.01,,,,,
382,2026-01-18 19:52:32.572,0.15,582.85,0.14,139.44,0.86,139.44,0.85,582.85,0.010000000000000009,0.14500000000000002,0.855,0.04589936178673213,0.04589936178673067,0,0,-0.6138946960362182,0.6138946960362182,1.01,,,,,
383,2026-01-18 19:52:33.623,0.15,669.17,0.14,48.43,0.86,43.77,0.85,669.17,0.010000000000000009,0.14500000000000002,0.855,0.04593627371628876,0.04593627371628725,0,0,-0.8650222965440358,0.8772126686677701,1.01,,,,,
384,2026-01-18 19:52:34.805,0.15,573.71,0.14,212.71,0.86,212.71,0.85,573.71,0.010000000000000009,0.14500000000000002,0.855,0.04588458870062952,0.04588458870062796,0,0,-0.45904224205895067,0.45904224205895067,1.01,,,,,
385,2026-01-18 19:52:35.894,0.15,283.23,0.14,209.05,0.86,209.05,0.85,283.23,0.010000000000000009,0.14500000000000002,0.855,0.0457440064302826,0.04574400643028099,0,0,-0.15068660112131307,0.15068660112131307,1.01,,,,,
386,2026-01-18 19:52:37.185,0.15,265.57,0.14,178.45,0.86,178.45,0.85,265.57,0.010000000000000009,0.14500000000000002,0.855,0.045740609854159786,0.04574060985415814,0,0,-0.19620737804603397,0.19620737804603397,1.01,,,,,
