,imbalance,relative_imbalance,position_imbalance,trade_size,imbalance_persistence,time_remaining,pnl,roi,pair_cost,matched_pairs,total_trades,final_position_imbalance,marginal_cost_improvement
40,-0.8,0.6000000000000001,0.1,75,6,30,10.713205371934691,1.071320537193469,0.9934297803892921,494.55947217068643,41.8,0.25674303626279027,0.002
41,-0.8,0.6000000000000001,0.2,50,6,60,17.25112678821722,1.7251126788217221,0.9824603676611353,546.468406395336,47.5,0.27398792760509777,0.001
42,-0.8,0.6000000000000001,0.2,75,6,60,19.665299818336916,1.9665299818336917,0.9798562534408453,557.8379721706864,46.2,0.2735668859883641,0.0015
44,-0.8,0.6000000000000001,0.30000000000000004,50,6,30,2.2373650926718596,0.223736509267186,0.9935415552972362,513.8811619730031,47.5,0.30367659742223163,0.002
45,-0.8,0.6000000000000001,0.30000000000000004,50,6,60,2.070641032828837,0.20706410328288377,0.9936592061045328,513.1311619730031,47.4,0.3040352269610135,0.001
50,-0.8,0.6000000000000001,0.4,50,6,30,7.15909220157854,0.715909220157854,0.9898416473388325,508.19396516288873,50.5,0.34402272352971236,0.002
51,-0.8,0.6000000000000001,0.4,75,2,60,0.2755225108783179,0.02755225108783188,0.9957607811782179,846.4916328226218,138.0,0.15928250952959727,0.001
52,-0.8,0.6000000000000001,0.4,75,6,60,5.31333592994788,0.5313335929947878,0.9953485765296997,523.6539957113152,50.4,0.3400982390172439,0.002
53,-0.8,0.8,0.1,25,6,30,6.879067341968209,0.6879067341968208,0.9957174649580411,288.24006302147575,33.5,0.3372079962453204,0.001
54,-0.8,0.8,0.1,25,6,60,7.174190980880587,0.7174190980880586,0.9952790256955101,287.49006302147575,33.3,0.3362998852768587,0.001
58,-0.8,0.8,0.2,25,6,30,17.694592447177616,1.7694592447177613,0.9760843172873279,326.6576442843217,39.8,0.3446694088852721,0.002
60,-0.8,0.8,0.30000000000000004,25,6,30,12.932238312070831,1.2932238312070827,0.9845557671999219,343.3399023488379,39.5,0.33895043662868773,0.002
62,-0.8,0.8,0.4,50,6,30,19.54033853885221,1.954033853885221,0.9721684168879658,381.129718995017,43.9,0.4289434942563153,0.001
69,-0.6000000000000001,0.2,0.2,75,2,60,-3.52376775683249,-0.35237677568324893,0.9987530588166076,818.6550153935256,135.1,0.18800041477440793,0.001
70,-0.6000000000000001,0.2,0.30000000000000004,50,2,30,-1.6253787653675886,-0.16253787653675875,0.9982262717789668,836.2895891245832,154.7,0.17185604824960768,0.001
71,-0.6000000000000001,0.2,0.4,25,2,30,-1.1610913293535532,-0.11610913293535532,0.9954344690664666,823.363643391321,167.2,0.20181785635436053,0.001
74,-0.6000000000000001,0.2,0.4,50,2,60,-0.378593662688786,-0.037859366268878515,0.9935648162007789,788.7516215473343,146.3,0.24251415428023618,0.002
75,-0.6000000000000001,0.2,0.4,50,6,60,9.938677352376283,0.9938677352376285,0.9868352167053785,622.6780858803588,61.7,0.36642518471200314,0.002
76,-0.6000000000000001,0.2,0.4,75,2,60,3.7126597502330356,0.37126597502330355,0.9900128167284885,773.0665217136025,150.1,0.2617157213089214,0.002
