,imbalance,relative_imbalance,position_imbalance,trade_size,imbalance_persistence,time_remaining,pnl,roi,pair_cost,matched_pairs,total_trades,final_position_imbalance,marginal_cost_improvement
167,-0.40000000000000013,0.4,0.2,75,2,60,-9.053005243785526,-0.9053005243785526,1.0072399963284193,797.9961268963737,126.8,0.19183513885987338,0.0015
168,-0.40000000000000013,0.4,0.30000000000000004,25,6,30,-6.6005460174377735,-0.6600546017437774,1.0122690658478855,511.66648348386195,55.2,0.28002649904205734,0.001
177,-0.40000000000000013,0.6000000000000001,0.2,25,2,30,-15.383960792912854,-1.5383960792912854,1.0141361654266061,841.9069420155289,141.3,0.14992860100601574,0.002
178,-0.40000000000000013,0.6000000000000001,0.2,25,2,60,-15.383960792912854,-1.5383960792912854,1.0141361654266061,841.9069420155289,140.0,0.14992860100601574,0.001
180,-0.40000000000000013,0.6000000000000001,0.2,50,2,30,-10.82543013156834,-1.0825430131568339,1.0075527924842014,858.7922090607611,136.1,0.1320620334767797,0.002
181,-0.40000000000000013,0.6000000000000001,0.2,50,2,60,-10.82543013156834,-1.0825430131568339,1.0075527924842014,858.7922090607611,134.4,0.1320620334767797,0.001
182,-0.40000000000000013,0.6000000000000001,0.30000000000000004,25,2,30,-5.544952142214027,-0.5544952142214026,1.0015693254554292,847.5616231053955,145.6,0.16313645831159307,0.002
183,-0.40000000000000013,0.6000000000000001,0.30000000000000004,50,2,60,-11.304734833078566,-1.1304734833078567,1.0079681219190824,872.8659270202721,140.5,0.11581070944167268,0.0015
186,-0.40000000000000013,0.6000000000000001,0.30000000000000004,75,2,60,-8.0309856586406,-0.8030985658640599,1.0054510115543802,818.9491520763962,134.8,0.17363686969972264,0.001
188,-0.40000000000000013,0.6000000000000001,0.4,50,2,30,-5.006899997065863,-0.5006899997065863,1.0022619166614806,882.6166302657668,146.4,0.11931450692098547,0.001
192,-0.40000000000000013,0.8,0.1,25,2,30,-15.171837682836781,-1.5171837682836782,1.0132647564199955,885.275524020238,126.0,0.12992364733071637,0.002
193,-0.40000000000000013,0.8,0.1,50,2,30,-26.24054067736869,-2.6240540677368687,1.0283662841084205,874.8371087044914,106.5,0.09427303156677258,0.002
194,-0.40000000000000013,0.8,0.1,50,6,30,3.6378868509442897,0.3637886850944289,1.01773895905445,344.7896740511968,33.7,0.27854701523724146,0.001
195,-0.40000000000000013,0.8,0.2,50,2,60,-10.22973317354256,-1.022973317354256,1.0104714003474329,844.3146683034868,120.2,0.14628353526311733,0.001
196,-0.40000000000000013,0.8,0.2,75,2,60,-20.63171265421687,-2.063171265421687,1.0218483699530636,841.6544643914574,121.1,0.13747055684194925,0.001
198,-0.40000000000000013,0.8,0.30000000000000004,50,2,30,-5.435218898064852,-0.5435218898064853,1.0029327496212266,878.2353008257063,134.9,0.12293616829296934,0.001
200,-0.40000000000000013,0.8,0.30000000000000004,75,2,30,-16.449915278262132,-1.6449915278262133,1.0169771695960914,842.7544297801935,131.4,0.14517998468857968,0.002
201,-0.40000000000000013,0.8,0.30000000000000004,75,2,60,-16.449915278262132,-1.6449915278262133,1.0169771695960914,842.7544297801935,130.0,0.14517998468857968,0.002
204,-0.20000000000000018,0.2,0.1,25,2,60,-19.50483030005204,-1.9504830300052038,1.017396967087485,887.69417766958,146.3,0.10047789722546666,0.002
205,-0.20000000000000018,0.2,0.1,25,6,30,-30.107908411639322,-3.010790841163933,1.0435550397566125,538.2201517141013,53.3,0.2266018091961825,0.001
206,-0.20000000000000018,0.2,0.1,50,2,30,-19.79032142092897,-1.9790321420928965,1.0180175668753306,874.9520350333971,133.9,0.10795774212973488,0.001
207,-0.20000000000000018,0.2,0.1,50,6,30,-38.1144916916323,-3.811449169163231,1.0501586957192743,592.5351989023591,51.8,0.21525406639568137,0.002
208,-0.20000000000000018,0.2,0.1,50,6,60,-33.393165842287374,-3.3393165842287376,1.041503187510779,585.858698902359,49.0,0.21716884233772604,0.001
209,-0.20000000000000018,0.2,0.2,25,6,30,-30.04180330950329,-3.004180330950329,1.0372746098221952,557.1033026580783,57.4,0.2684629399224131,0.001
210,-0.20000000000000018,0.2,0.2,50,2,60,-5.699939415229096,-0.5699939415229096,1.0014451600133207,820.2401420269995,141.5,0.1804156847082389,0.002
211,-0.20000000000000018,0.2,0.2,50,6,30,-17.539141213158484,-1.7539141213158485,1.0177395671325284,628.924581618037,53.8,0.25809785273013697,0.001
212,-0.20000000000000018,0.2,0.2,75,6,30,-6.643876900010821,-0.6643876900010823,1.0102111712454718,625.6270659177345,51.2,0.29485090034635564,0.002
213,-0.20000000000000018,0.2,0.2,75,6,60,-3.5062623067015806,-0.3506262306701583,1.0037458638377896,619.700565854143,50.9,0.30359546985496433,0.002
215,-0.20000000000000018,0.2,0.30000000000000004,25,6,60,-15.841832014043405,-1.5841832014043407,1.0216310089982739,573.5417456897005,61.5,0.2896058407099319,0.001
219,-0.20000000000000018,0.4,0.1,25,2,30,-27.013137204106318,-2.701313720410632,1.024745707095007,893.6290936094422,137.9,0.09155066612045043,0.0015
220,-0.20000000000000018,0.4,0.1,50,2,30,-24.152758806041664,-2.4152758806041663,1.02266119790523,882.71047797201,125.4,0.09564957922348605,0.001
221,-0.20000000000000018,0.4,0.1,50,6,30,-32.33194166759174,-3.233194166759174,1.0488634626529478,543.056786203712,48.1,0.217407620113809,0.001
222,-0.20000000000000018,0.4,0.1,50,6,60,-27.950591027131157,-2.7950591027131155,1.0408232363618013,536.380286203712,46.1,0.22257834601096302,0.002
223,-0.20000000000000018,0.4,0.1,75,2,60,-16.727583706051906,-1.6727583706051905,1.0157403851022277,858.8900279971897,126.9,0.12741432067451947,0.002
225,-0.20000000000000018,0.4,0.2,50,6,30,-5.655838767345449,-0.5655838767345449,1.0064501970089879,559.5759588987397,50.8,0.27741755135953616,0.002
226,-0.20000000000000018,0.4,0.2,75,2,30,-9.61574744356749,-0.9615747443567487,1.0078096747920713,799.4555631179162,127.6,0.19031895128090937,0.001
227,-0.20000000000000018,0.4,0.2,75,2,60,-9.61574744356749,-0.9615747443567487,1.0078096747920713,799.4555631179162,126.4,0.19031895128090937,0.001
228,-0.20000000000000018,0.4,0.2,75,6,30,-9.137544479221628,-0.9137544479221628,1.013828927289674,580.7404818378433,50.0,0.27551449584862653,0.002
231,-0.20000000000000018,0.4,0.30000000000000004,75,2,60,-4.146534055287281,-0.4146534055287282,1.0018650697692224,784.7155695060452,140.9,0.2136079339057638,0.002
232,-0.20000000000000018,0.4,0.30000000000000004,75,6,30,-1.1810673901991322,-0.11810673901991305,1.00302787585526,616.2598585658183,53.0,0.2751962962607222,0.002
234,-0.20000000000000018,0.4,0.4,25,6,30,-3.8792745671182844,-0.38792745671182854,1.0152516131849363,520.3849329358837,61.1,0.3466709225502939,0.002
238,-0.20000000000000018,0.6000000000000001,0.1,25,2,30,-24.373311046260813,-2.4373311046260815,1.021310706400215,898.6793901709227,140.2,0.09273030802259155,0.002
